Geneid	EBF1-dTAG_N_0h_rep1	EBF1-dTAG_N_0h_rep2	EBF1-dTAG_N_0h_rep3	EBF1-dTAG_N_0h_rep4	EBF1-dTAG_N_6h_rep1	EBF1-dTAG_N_6h_rep2	EBF1-dTAG_N_6h_rep3	EBF1-dTAG_N_6h_rep4
ENSMUSG00000102272.1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	0	0	0	0	0	0	3	0
ENSMUSG00000061024.8	1521	1419	1824	1865	1473	1501	1711	1301
ENSMUSG00000025911.14	13	15	17	37	15	23	16	22
ENSMUSG00000079671.8	0	0	0	0	0	0	1	0
ENSMUSG00000081441.3	0	4	2	0	0	0	0	0
ENSMUSG00000067879.3	0	0	0	0	0	0	0	0
ENSMUSG00000099827.1	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	576	477	653	623	639	668	526	575
ENSMUSG00000045210.8	3082	2856	3917	3651	3683	3766	3763	3372
ENSMUSG00000097893.8	4	5	8	5	2	0	5	4
ENSMUSG00000025915.14	407	410	642	512	509	483	448	502
ENSMUSG00000046334.4	0	0	2	0	0	0	0	2
ENSMUSG00000088916.1	0	0	0	0	0	0	0	0
ENSMUSG00000046101.16	0	0	2	0	2	1	2	1
ENSMUSG00000098234.7	482	577	752	559	641	713	667	592
ENSMUSG00000093178.1	13	22	26	33	12	11	15	29
ENSMUSG00000099032.2	0	0	0	0	0	0	2	0
ENSMUSG00000104025.1	0	0	0	0	0	0	0	0
ENSMUSG00000025916.10	0	0	0	0	0	0	0	4
ENSMUSG00000087199.1	0	0	0	0	0	0	0	0
ENSMUSG00000095780.1	0	0	0	0	0	0	0	1
ENSMUSG00000025917.9	1564	1618	2027	2100	2106	2135	2154	1877
ENSMUSG00000056763.16	1428	1315	1882	1674	1622	1932	1553	1761
ENSMUSG00000102356.1	0	0	0	0	0	0	0	0
ENSMUSG00000067851.11	6087	5878	7819	7511	7710	8469	8262	7394
ENSMUSG00000088153.1	0	0	0	0	0	0	0	0
ENSMUSG00000102556.1	67	34	73	61	47	69	65	63
ENSMUSG00000042501.12	0	0	0	0	0	0	0	0
ENSMUSG00000103810.1	0	0	0	0	0	0	0	0
ENSMUSG00000083422.1	0	0	0	0	0	0	0	0
ENSMUSG00000094979.1	0	0	0	0	0	0	0	0
ENSMUSG00000081417.1	0	5	1	2	3	1	1	0
ENSMUSG00000103448.1	0	0	0	0	0	0	0	0
ENSMUSG00000100212.1	0	0	0	0	2	0	0	0
ENSMUSG00000100648.1	0	5	5	1	1	8	3	2
ENSMUSG00000088585.1	0	0	0	0	0	0	0	0
ENSMUSG00000048960.13	0	1	0	0	0	0	0	1
ENSMUSG00000077318.1	0	0	0	0	0	0	0	0
ENSMUSG00000101827.1	0	0	0	0	0	0	0	0
ENSMUSG00000103494.1	0	0	0	0	0	0	0	0
ENSMUSG00000057715.13	0	0	0	0	0	0	0	0
ENSMUSG00000103825.1	0	0	0	0	0	0	0	0
ENSMUSG00000099845.1	0	0	0	0	0	0	0	0
ENSMUSG00000103561.1	0	0	0	0	0	0	0	0
ENSMUSG00000101610.1	2	0	0	0	4	2	0	0
ENSMUSG00000093864.1	0	0	0	0	0	0	0	0
ENSMUSG00000098555.1	0	0	0	0	0	0	0	0
ENSMUSG00000097628.1	1	0	1	3	7	13	8	1
ENSMUSG00000098163.1	0	0	0	0	0	0	0	0
ENSMUSG00000097171.1	0	0	0	0	0	0	0	0
ENSMUSG00000101314.1	0	0	0	0	0	0	0	0
ENSMUSG00000016918.15	0	0	0	0	0	0	0	0
ENSMUSG00000025938.16	0	0	0	0	0	0	0	0
ENSMUSG00000104518.1	0	0	0	0	0	0	0	0
ENSMUSG00000069620.6	0	0	0	0	0	0	0	0
ENSMUSG00000099498.1	0	0	0	0	0	0	0	0
ENSMUSG00000042414.7	0	0	2	0	0	0	0	0
ENSMUSG00000005886.14	3837	3806	4882	4931	5223	5263	5253	4688
ENSMUSG00000103506.1	40	50	46	71	51	62	37	57
ENSMUSG00000103495.1	46	40	45	60	28	46	31	35
ENSMUSG00000099183.1	0	0	0	0	0	0	0	0
ENSMUSG00000102639.1	16	4	6	11	7	18	10	24
ENSMUSG00000104170.1	33	26	56	43	31	21	41	60
ENSMUSG00000087782.1	14	8	3	16	7	10	12	12
ENSMUSG00000103085.1	221	162	306	238	198	246	162	270
ENSMUSG00000102664.1	142	106	171	145	125	140	110	151
ENSMUSG00000101476.1	0	2	5	5	0	0	0	0
ENSMUSG00000101171.1	0	0	1	0	0	0	0	0
ENSMUSG00000025935.10	4606	4760	6024	5861	6935	6912	6952	6128
ENSMUSG00000025937.6	171	186	236	221	256	321	314	293
ENSMUSG00000102982.1	6	8	12	10	14	14	12	14
ENSMUSG00000067813.3	0	0	0	0	0	0	0	0
ENSMUSG00000077368.1	0	0	0	0	0	0	0	0
ENSMUSG00000097711.1	1	0	0	1	0	2	0	3
ENSMUSG00000102166.1	0	0	0	0	0	0	0	0
ENSMUSG00000089358.1	0	0	0	0	0	0	0	0
ENSMUSG00000104209.1	0	0	0	0	0	0	0	0
ENSMUSG00000025932.14	0	0	0	0	0	0	0	0
ENSMUSG00000095853.1	0	0	0	0	0	0	0	0
ENSMUSG00000102588.1	0	0	0	0	0	0	0	0
ENSMUSG00000054493.2	0	0	0	0	0	0	0	0
ENSMUSG00000025930.6	0	0	0	0	0	0	0	0
ENSMUSG00000103492.1	0	0	0	0	0	0	0	0
ENSMUSG00000081201.1	0	2	0	0	0	0	0	0
ENSMUSG00000082193.1	36	24	23	16	17	15	36	26
ENSMUSG00000032769.4	0	0	0	0	0	0	0	0
ENSMUSG00000088159.1	0	0	0	0	0	0	0	0
ENSMUSG00000073737.3	3	1	3	2	2	0	0	3
ENSMUSG00000092083.4	0	0	0	0	0	0	0	0
ENSMUSG00000102937.1	0	0	0	0	0	0	0	0
ENSMUSG00000104149.1	0	0	0	0	2	0	0	3
ENSMUSG00000088829.1	0	0	0	0	0	0	0	0
ENSMUSG00000077377.1	0	0	0	0	0	0	0	0
ENSMUSG00000101652.1	0	0	1	0	0	0	0	0
ENSMUSG00000100814.1	0	0	0	0	0	0	0	0
ENSMUSG00000025925.14	790	792	1114	896	844	989	965	1009
ENSMUSG00000104379.1	26	60	72	67	60	99	56	78
ENSMUSG00000032719.4	0	0	0	0	0	2	0	0
ENSMUSG00000088943.1	0	0	0	0	0	0	0	0
ENSMUSG00000100652.1	0	0	0	0	0	0	0	0
ENSMUSG00000067795.13	0	3	5	0	1	0	0	3
ENSMUSG00000043716.13	21373	21403	27701	26473	26629	27621	28858	23056
ENSMUSG00000025921.7	1346	1382	1722	1585	444	442	485	440
ENSMUSG00000104165.1	0	0	0	0	0	0	0	0
ENSMUSG00000100868.1	0	0	0	0	0	0	0	0
ENSMUSG00000025920.19	805	868	1124	1062	801	860	716	652
ENSMUSG00000089982.7	0	0	0	1	0	0	0	0
ENSMUSG00000025939.17	748	812	1143	1015	784	946	874	904
ENSMUSG00000102457.1	2	1	3	2	0	0	4	0
ENSMUSG00000079658.9	987	1006	1249	1170	1218	1271	1239	1117
ENSMUSG00000097744.1	1	0	0	0	0	0	0	1
ENSMUSG00000100959.1	0	0	0	0	0	0	0	0
ENSMUSG00000025940.6	810	829	998	971	988	1003	1017	868
ENSMUSG00000025779.10	57	53	75	51	76	106	70	76
ENSMUSG00000100093.1	0	0	0	0	0	0	0	0
ENSMUSG00000091020.3	13	10	3	22	20	24	20	29
ENSMUSG00000101640.1	0	0	0	0	0	0	0	0
ENSMUSG00000104133.1	0	0	0	0	0	0	0	0
ENSMUSG00000042686.5	0	0	0	0	0	0	0	0
ENSMUSG00000100110.1	0	0	0	0	0	0	0	0
ENSMUSG00000025777.8	0	0	0	0	0	0	0	0
ENSMUSG00000099899.1	0	0	0	0	0	0	0	0
ENSMUSG00000100272.1	0	0	0	0	0	0	0	0
ENSMUSG00000100398.1	1	0	0	0	0	0	1	0
ENSMUSG00000101589.1	3	1	0	3	0	3	5	5
ENSMUSG00000102048.1	0	0	0	0	2	0	0	0
ENSMUSG00000089534.1	0	0	0	0	0	0	0	0
ENSMUSG00000067780.3	0	0	0	0	0	0	0	0
ENSMUSG00000100053.1	0	0	0	0	0	0	0	0
ENSMUSG00000085125.7	0	0	0	0	0	0	0	0
ENSMUSG00000025776.13	0	0	0	0	0	0	0	0
ENSMUSG00000099895.1	0	0	0	0	0	0	0	0
ENSMUSG00000100554.1	0	1	0	0	0	0	0	0
ENSMUSG00000099473.1	0	0	0	0	0	0	0	0
ENSMUSG00000099591.1	0	0	1	0	1	1	3	0
ENSMUSG00000102001.1	0	0	0	0	0	0	0	0
ENSMUSG00000101717.1	0	0	0	0	0	0	0	0
ENSMUSG00000025774.14	0	0	0	0	0	0	0	0
ENSMUSG00000070977.4	0	0	0	0	0	0	0	0
ENSMUSG00000073735.1	0	0	0	0	0	0	0	0
ENSMUSG00000067773.6	0	0	0	0	0	0	0	0
ENSMUSG00000101685.1	0	0	0	3	3	0	0	0
ENSMUSG00000101738.1	0	0	0	0	0	0	0	0
